vernacularName,behavior,individualCount,season,eventDate,eventTime,decimalLatitude,decimalLongitude,locality,cloud_cover,precipitation,wind_speed,sea_condition,tide_movement,visibility,glare
Larus argentatus,RE= resting,5,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Gavia immer,FE= feeding,3,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Anas platyrhynchos,RE= resting,2,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Mergus merganser,FE= feeding,6,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Somateria mollissima,FE= feeding,12,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Laridae,FL= flying,2,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Larus marinus,FL= flying,2,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Branta canadensis,FL= flying,5,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Zenaida macroura,D= disturbed,1,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Larus delawarensis,RE= resting,8,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Somateria mollissima,RE= resting,2,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Somateria mollissima,FL= flying,6,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Larus argentatus,FE= feeding,4,spring,2024-04-17,09:15/11:00,44.59355555555556,-63.45569444444445,Hartlen Point,20,NA,2,1,High Falling,>1,30
Larus argentatus,RE= resting,12,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Corvus brachyrhynchos,FE= feeding,2,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Phalacrocorax auritus,RE= resting,85,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Anas platyrhynchos,RE= resting,6,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Larus delawarensis,RE= resting,4,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Somateria mollissima,FE= feeding,8,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Larus argentatus,FL= flying,2,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Corvus brachyrhynchos,FL= flying,3,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Somateria mollissima,FL= flying,3,spring,2024-04-14,09:30/11:00,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,Mid Falling,>1,10
Larus argentatus,FE= feeding,2,summer,2024-06-29,10:00/10:30,44.59355555555556,-63.45569444444445,Hartlen Point,25,NA,1,1,Low Rising,>1,40
Phalacrocorax auritus,FE= feeding,1,summer,2024-06-29,10:00/10:30,44.59355555555556,-63.45569444444445,Hartlen Point,25,NA,1,1,Low Rising,>1,40
Corvus brachyrhynchos,RE= resting,2,summer,2024-06-29,10:00/10:30,44.59355555555556,-63.45569444444445,Hartlen Point,25,NA,1,1,Low Rising,>1,40
Larus argentatus,FL= flying,2,summer,2024-06-29,10:00/10:30,44.59355555555556,-63.45569444444445,Hartlen Point,25,NA,1,1,Low Rising,>1,40
Corvus brachyrhynchos,FL= flying,1,summer,2024-06-29,10:00/10:30,44.59355555555556,-63.45569444444445,Hartlen Point,25,NA,1,1,Low Rising,>1,40
Somateria mollissima,RE= resting,2,summer,2024-06-29,10:00/10:30,44.59355555555556,-63.45569444444445,Hartlen Point,25,NA,1,1,Low Rising,>1,40
Larus argentatus,RE= resting,3,summer,2024-07-01,10:00/10:30,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,High Rising,>1,10
Corvus brachyrhynchos,FE= feeding,6,summer,2024-07-01,10:00/10:30,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,High Rising,>1,10
Phalacrocorax auritus,RE= resting,30,summer,2024-07-01,10:00/10:30,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,High Rising,>1,10
Anas platyrhynchos,FE= feeding,4,summer,2024-07-01,10:00/10:30,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,High Rising,>1,10
Larus delawarensis,FE= feeding,2,summer,2024-07-01,10:00/10:30,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,High Rising,>1,10
Larus argentatus,FL= flying,1,summer,2024-07-01,10:00/10:30,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,High Rising,>1,10
Corvus brachyrhynchos,FL= flying,2,summer,2024-07-01,10:00/10:30,44.67888888888889,-63.51861111111111,MacCormacks Beach,90,NA,1,1,High Rising,>1,10
Larus argentatus,RE= resting,2,spring,2024-04-19,11:00/11:30,44.636833333333335,-63.57455555555556,Dartmouth Cove,100,NA,1,1,High Rising,>1,0
Phalacrocorax auritus,RE= resting,15,spring,2024-04-19,11:00/11:30,44.636833333333335,-63.57455555555556,Dartmouth Cove,100,NA,1,1,High Rising,>1,0
Anas platyrhynchos,FE= feeding,12,spring,2024-04-19,11:00/11:30,44.636833333333335,-63.57455555555556,Dartmouth Cove,100,NA,1,1,High Rising,>1,0
Larus delawarensis,RE= resting,3,spring,2024-04-19,11:00/11:30,44.636833333333335,-63.57455555555556,Dartmouth Cove,100,NA,1,1,High Rising,>1,0
Corvus brachyrhynchos,FE= feeding,4,spring,2024-04-19,11:00/11:30,44.636833333333335,-63.57455555555556,Dartmouth Cove,100,NA,1,1,High Rising,>1,0
Anas platyrhynchos,FL= flying,2,spring,2024-04-19,11:00/11:30,44.636833333333335,-63.57455555555556,Dartmouth Cove,100,NA,1,1,High Rising,>1,0
Larus argentatus,FL= flying,1,spring,2024-04-19,11:00/11:30,44.636833333333335,-63.57455555555556,Dartmouth Cove,100,NA,1,1,High Rising,>1,0
Corvus brachyrhynchos,FL= flying,2,spring,2024-04-19,11:00/11:30,44.636833333333335,-63.57455555555556,Dartmouth Cove,100,NA,1,1,High Rising,>1,0
Larus argentatus,RE= resting,4,summer,2024-07-03,11:00/11:30,44.636833333333335,-63.57455555555556,Dartmouth Cove,80,NA,1,1,Low Falling,>1,20
Phalacrocorax auritus,FE= feeding,8,summer,2024-07-03,11:00/11:30,44.636833333333335,-63.57455555555556,Dartmouth Cove,80,NA,1,1,Low Falling,>1,20
Anas platyrhynchos,FE= feeding,4,summer,2024-07-03,11:00/11:30,44.636833333333335,-63.57455555555556,Dartmouth Cove,80,NA,1,1,Low Falling,>1,20
Larus delawarensis,FE= feeding,2,summer,2024-07-03,11:00/11:30,44.636833333333335,-63.57455555555556,Dartmouth Cove,80,NA,1,1,Low Falling,>1,20
Corvus brachyrhynchos,RE= resting,3,summer,2024-07-03,11:00/11:30,44.636833333333335,-63.57455555555556,Dartmouth Cove,80,NA,1,1,Low Falling,>1,20
Anas platyrhynchos,FL= flying,1,summer,2024-07-03,11:00/11:30,44.636833333333335,-63.57455555555556,Dartmouth Cove,80,NA,1,1,Low Falling,>1,20
Corvus brachyrhynchos,FL= flying,1,summer,2024-07-03,11:00/11:30,44.636833333333335,-63.57455555555556,Dartmouth Cove,80,NA,1,1,Low Falling,>1,20
Anas platyrhynchos,RE= resting,6,spring,2024-04-22,09:30/10:00,44.677222222222225,-63.671111111111116,Sullivans Pond,10,NA,1,,,>1,50
Corvus brachyrhynchos,FE= feeding,8,spring,2024-04-22,09:30/10:00,44.677222222222225,-63.671111111111116,Sullivans Pond,10,NA,1,,,>1,50
Larus delawarensis,FE= feeding,1,spring,2024-04-22,09:30/10:00,44.677222222222225,-63.671111111111116,Sullivans Pond,10,NA,1,,,>1,50
Columba livia,FE= feeding,20,spring,2024-04-22,09:30/10:00,44.677222222222225,-63.671111111111116,Sullivans Pond,10,NA,1,,,>1,50
Corvus brachyrhynchos,O= other,2,spring,2024-04-22,09:30/10:00,44.677222222222225,-63.671111111111116,Sullivans Pond,10,NA,1,,,>1,50
Larus delawarensis,O= other,1,spring,2024-04-22,09:30/10:00,44.677222222222225,-63.671111111111116,Sullivans Pond,10,NA,1,,,>1,50
Columba livia,FL= flying,4,spring,2024-04-22,09:30/10:00,44.677222222222225,-63.671111111111116,Sullivans Pond,10,NA,1,,,>1,50
Corvus brachyrhynchos,FL= flying,2,spring,2024-04-22,09:30/10:00,44.677222222222225,-63.671111111111116,Sullivans Pond,10,NA,1,,,>1,50
Anas platyrhynchos,RE= resting,4,summer,2024-07-05,09:30/10:00,44.677222222222225,-63.671111111111116,Sullivans Pond,85,NA,1,,,>1,20
Corvus brachyrhynchos,FE= feeding,6,summer,2024-07-05,09:30/10:00,44.677222222222225,-63.671111111111116,Sullivans Pond,85,NA,1,,,>1,20
Larus delawarensis,RE= resting,2,summer,2024-07-05,09:30/10:00,44.677222222222225,-63.671111111111116,Sullivans Pond,85,NA,1,,,>1,20
Columba livia,FE= feeding,15,summer,2024-07-05,09:30/10:00,44.677222222222225,-63.671111111111116,Sullivans Pond,85,NA,1,,,>1,20
Corvus brachyrhynchos,O= other,1,summer,2024-07-05,09:30/10:00,44.677222222222225,-63.671111111111116,Sullivans Pond,85,NA,1,,,>1,20
Columba livia,FL= flying,3,summer,2024-07-05,09:30/10:00,44.677222222222225,-63.671111111111116,Sullivans Pond,85,NA,1,,,>1,20
Corvus brachyrhynchos,FL= flying,1,summer,2024-07-05,09:30/10:00,44.677222222222225,-63.671111111111116,Sullivans Pond,85,NA,1,,,>1,20
Larus delawarensis,FL= flying,1,summer,2024-07-05,09:30/10:00,44.677222222222225,-63.671111111111116,Sullivans Pond,85,NA,1,,,>1,20
Larus argentatus,RE= resting,2,spring,2024-04-24,10:00/10:30,44.69102777777778,-63.56138888888889,Tufts Cove - Nootka,90,Rain,3,2,Low Rising,>1,10
Corvus brachyrhynchos,FE= feeding,4,spring,2024-04-24,10:00/10:30,44.69102777777778,-63.56138888888889,Tufts Cove - Nootka,90,Rain,3,2,Low Rising,>1,10
Phalacrocorax auritus,RE= resting,6,spring,2024-04-24,10:00/10:30,44.69102777777778,-63.56138888888889,Tufts Cove - Nootka,90,Rain,3,2,Low Rising,>1,10
Anas platyrhynchos,FE= feeding,2,spring,2024-04-24,10:00/10:30,44.69102777777778,-63.56138888888889,Tufts Cove - Nootka,90,Rain,3,2,Low Rising,>1,10
Larus delawarensis,FE= feeding,2,spring,2024-04-24,10:00/10:30,44.69102777777778,-63.56138888888889,Tufts Cove - Nootka,90,Rain,3,2,Low Rising,>1,10
Larus argentatus,FL= flying,1,spring,2024-04-24,10:00/10:30,44.69102777777778,-63.56138888888889,Tufts Cove - Nootka,90,Rain,3,2,Low Rising,>1,10
Corvus brachyrhynchos,FL= flying,3,spring,2024-04-24,10:00/10:30,44.69102777777778,-63.56138888888889,Tufts Cove - Nootka,90,Rain,3,2,Low Rising,>1,10
Larus argentatus,RE= resting,1,summer,2024-07-08,10:00/10:30,44.69102777777778,-63.56138888888889,Tufts Cove - Nootka,95,Rain,2,2,Low Falling,>1,10
Corvus brachyrhynchos,FE= feeding,3,summer,2024-07-08,10:00/10:30,44.69102777777778,-63.56138888888889,Tufts Cove - Nootka,95,Rain,2,2,Low Falling,>1,10
Phalacrocorax auritus,FE= feeding,4,summer,2024-07-08,10:00/10:30,44.69102777777778,-63.56138888888889,Tufts Cove - Nootka,95,Rain,2,2,Low Falling,>1,10
Anas platyrhynchos,FE= feeding,1,summer,2024-07-08,10:00/10:30,44.69102777777778,-63.56138888888889,Tufts Cove - Nootka,95,Rain,2,2,Low Falling,>1,10
Larus delawarensis,RE= resting,1,summer,2024-07-08,10:00/10:30,44.69102777777778,-63.56138888888889,Tufts Cove - Nootka,95,Rain,2,2,Low Falling,>1,10
Corvus brachyrhynchos,FL= flying,2,summer,2024-07-08,10:00/10:30,44.69102777777778,-63.56138888888889,Tufts Cove - Nootka,95,Rain,2,2,Low Falling,>1,10
Larus argentatus,RE= resting,2,spring,2024-04-26,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,High Falling,>1,30
Corvus brachyrhynchos,FE= feeding,3,spring,2024-04-26,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,High Falling,>1,30
Phalacrocorax auritus,FE= feeding,2,spring,2024-04-26,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,High Falling,>1,30
Larus delawarensis,FE= feeding,3,spring,2024-04-26,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,High Falling,>1,30
Anas platyrhynchos,FL= flying,3,spring,2024-04-26,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,High Falling,>1,30
Larus argentatus,FL= flying,1,spring,2024-04-26,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,High Falling,>1,30
Corvus brachyrhynchos,FL= flying,1,spring,2024-04-26,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,High Falling,>1,30
Larus argentatus,RE= resting,3,spring,2024-04-26,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,High Falling,>1,30
Corvus brachyrhynchos,FE= feeding,2,spring,2024-04-26,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,High Falling,>1,30
Phalacrocorax auritus,RE= resting,6,spring,2024-04-26,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,High Falling,>1,30
Larus delawarensis,RE= resting,2,spring,2024-04-26,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,High Falling,>1,30
Anas platyrhynchos,FE= feeding,4,spring,2024-04-26,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,High Falling,>1,30
Corvus brachyrhynchos,FL= flying,1,spring,2024-04-26,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,High Falling,>1,30
Larus argentatus,RE= resting,1,summer,2024-07-10,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,Mid Falling,>1,30
Corvus brachyrhynchos,FE= feeding,1,summer,2024-07-10,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,Mid Falling,>1,30
Phalacrocorax auritus,FE= feeding,3,summer,2024-07-10,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,Mid Falling,>1,30
Larus delawarensis,FE= feeding,1,summer,2024-07-10,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,Mid Falling,>1,30
Corvus brachyrhynchos,FL= flying,1,summer,2024-07-10,09:30/10:00,44.66666666666667,-63.52638888888889,Wrights Cove,40,NA,2,1,Mid Falling,>1,30
Larus argentatus,RE= resting,4,spring,2024-04-29,10:30/11:00,44.69638888888889,-63.55388888888889,Sackville River Mouth,95,Rain,1,1,Low Rising,>1,10
Corvus brachyrhynchos,FE= feeding,10,spring,2024-04-29,10:30/11:00,44.69638888888889,-63.55388888888889,Sackville River Mouth,95,Rain,1,1,Low Rising,>1,10
Anas platyrhynchos,FE= feeding,8,spring,2024-04-29,10:30/11:00,44.69638888888889,-63.55388888888889,Sackville River Mouth,95,Rain,1,1,Low Rising,>1,10
Larus delawarensis,FE= feeding,6,spring,2024-04-29,10:30/11:00,44.69638888888889,-63.55388888888889,Sackville River Mouth,95,Rain,1,1,Low Rising,>1,10
Corvus brachyrhynchos,FL= flying,4,spring,2024-04-29,10:30/11:00,44.69638888888889,-63.55388888888889,Sackville River Mouth,95,Rain,1,1,Low Rising,>1,10
Larus argentatus,FL= flying,2,spring,2024-04-29,10:30/11:00,44.69638888888889,-63.55388888888889,Sackville River Mouth,95,Rain,1,1,Low Rising,>1,10
Larus argentatus,RE= resting,2,summer,2024-07-12,10:30/11:00,44.69638888888889,-63.55388888888889,Sackville River Mouth,40,NA,1,1,High Rising,>1,50
Corvus brachyrhynchos,FE= feeding,6,summer,2024-07-12,10:30/11:00,44.69638888888889,-63.55388888888889,Sackville River Mouth,40,NA,1,1,High Rising,>1,50
Anas platyrhynchos,FE= feeding,4,summer,2024-07-12,10:30/11:00,44.69638888888889,-63.55388888888889,Sackville River Mouth,40,NA,1,1,High Rising,>1,50
Larus delawarensis,RE= resting,1,summer,2024-07-12,10:30/11:00,44.69638888888889,-63.55388888888889,Sackville River Mouth,40,NA,1,1,High Rising,>1,50
Corvus brachyrhynchos,FL= flying,2,summer,2024-07-12,10:30/11:00,44.69638888888889,-63.55388888888889,Sackville River Mouth,40,NA,1,1,High Rising,>1,50
Larus argentatus,FL= flying,1,summer,2024-07-12,10:30/11:00,44.69638888888889,-63.55388888888889,Sackville River Mouth,40,NA,1,1,High Rising,>1,50
Anas platyrhynchos,FL= flying,1,summer,2024-07-12,10:30/11:00,44.69638888888889,-63.55388888888889,Sackville River Mouth,40,NA,1,1,High Rising,>1,50
Larus argentatus,RE= resting,6,spring,2024-05-01,11:00/11:30,44.72916666666667,-63.63305555555556,Dewolf Park,0.92,Rain,3,2,High Rising,>1,5
Corvus brachyrhynchos,FE= feeding,8,spring,2024-05-01,11:00/11:30,44.72916666666667,-63.63305555555556,Dewolf Park,0.92,Rain,3,2,High Rising,>1,5
